TA_ID,TAMBON_T,TAMBON_E,AM_ID,LAT,LONG
140105,ต. ท่าวาสุกรี,Tha Wasukri,1401,14.361,100.552
860401,ต. หลังสวน,Lang Suan,8604,9.95,99.09
500103,ต. หายยา,Hai Ya,5001,18.777,98.984
103102,แขวง วัดพระยาไกร,Watphrayasai,1031,13.706,100.508
120401,ต. โสนลอย,Sano Loi,1204,13.914,100.422
830107,ต. ราไวย์,Rawai,8301,7.517,98.331
850305,ต. บางหิน,Bang Hin,8503,9.58,98.466
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.565,97.626
850502,ต. กำพวน,Kamphuan,8505,9.483,98.377
230602,ต. เกาะกูด,Ko Kut,2306,11.719,102.519
100403,แขวง สุริยวงศ์,Suriyawong,1004,13.724,100.53
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.439,99.292
100101,แขวง พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1001,13.751,100.492
850109,ต. เกาะพยาม,Ko Phayam,8501,9.704,98.506
500104,ต. ช้างม่อย,Chang Moi,5001,18.796,98.996
101505,แขวง ตลาดพลู,Taladphu,1015,13.715,100.473
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.486,97.634
810301,ต. เกาะลันตาใหญ่,Ko Lanta Yai,8103,7.537,99.127
102006,แขวง บางขุนนนท์,Bangkhunnon,1020,13.774,100.466
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.507,97.632
920213,ต. เกาะลิบง,Ko Libong,9202,7.314,99.253
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.07,97.812
102209,แขวง ปากคลองภาษีเจริญ,,1022,13.722,100.464
140108,ต. ภูเขาทอง,Phu Khao Thong,1401,14.365,100.542
830107,ต. ราไวย์,Rawai,8301,7.743,98.378
810302,ต. เกาะลันตาน้อย,Ko Lanta Noi,8103,7.63,99.145
740102,ต. ท่าฉลอม,Tha Chalom,7401,13.538,100.269
180101,ต. ในเมือง,Nai Mueang,1801,15.181,100.127
530801,ต. ศรีพนมมาศ,Si Phanom Mat,5308,17.652,100.039
